state,Pre,Shock,Recovery,Post,covid_pct_change,covid_index
Alabama,697936.2380952381,756208.0,767578.4583333333,741999.7159090908,0.08349152648069023,1.0834915264806901
Alaska,79323.16666666666,84773.5,68078.54166666666,68254.20075757576,0.06871048600766078,1.0687104860076608
Arizona,771412.1428571428,855540.2083333333,879905.5416666666,885688.6325757576,0.1090572222062753,1.1090572222062753
Arkansas,357772.1666666666,355032.7916666666,256015.75,239481.6477272727,-0.007656758281457521,0.9923432417185425
California,3663049.0476190476,4375347.458333334,5024421.5,5431675.196969697,0.1944550568268461,1.1944550568268462
Colorado,432882.0,509558.875,558142.5833333333,601701.5757575758,0.17713112349323834,1.1771311234932385
Connecticut,354124.11904761905,372563.7083333334,386974.375,374849.88636363635,0.052070978207600566,1.0520709782076005
Delaware,125258.69047619047,117586.95833333334,120289.875,118487.63636363635,-0.06124710480120655,0.9387528951987935
District of Columbia,106772.40476190476,132535.70833333334,141237.375,139568.58712121213,0.2412917797335276,1.2412917797335277
Florida,2784358.1904761903,3286776.416666667,2978839.6666666665,2952352.1636363636,0.18044310100222824,1.1804431010022283
Georgia,1396861.5238095238,1633601.9583333333,1548676.5,1650312.5265151516,0.16948024588591318,1.1694802458859133
Hawaii,151161.85714285716,182960.6666666667,163275.16666666666,160593.4393939394,0.2103626544741225,1.2103626544741224
Idaho,141086.40476190476,137407.29166666666,124165.95833333334,132093.19318181818,-0.026077020684217737,0.9739229793157823
Illinois,1697370.119047619,1977025.2083333335,2008405.875,1906041.3143939395,0.16475787227986954,1.1647578722798695
Indiana,555213.6428571428,629766.7916666666,607492.25,595671.2803030303,0.1342783084829679,1.134278308482968
Iowa,308613.6904761905,295319.5833333333,268135.25,262054.39015151514,-0.043076854828910445,0.9569231451710896
Kansas,194367.40476190476,200296.5833333333,190245.5416666667,186646.74242424243,0.03050500457466954,1.0305050045746695
Kentucky,526500.8333333334,580282.1666666667,553079.6666666666,600974.1022727273,0.10214861958116565,1.1021486195811656
Louisiana,783273.6904761905,888488.5416666667,857674.125,821798.6287878788,0.13432705894476163,1.1343270589447616
Maine,150165.88095238095,159617.2916666667,166122.54166666666,168139.54924242425,0.06293980133398527,1.0629398013339852
Maryland,595477.6666666667,795146.3333333333,699971.375,679024.4848484849,0.33530840507312587,1.3353084050731259
Massachusetts,730105.0238095238,903431.0833333333,1067971.7916666667,1094408.4507575757,0.23739880410551495,1.237398804105515
Michigan,1188234.3095238097,1289678.4166666665,1409507.25,1481412.287878788,0.08537382427840431,1.0853738242784043
Minnesota,395638.61904761905,435264.9166666666,451378.4166666667,452491.3333333334,0.10015780995908834,1.1001578099590883
Mississippi,440604.9761904762,423045.0833333333,402749.625,367745.8787878788,-0.03985405024012178,0.9601459497598782
Missouri,665970.6666666666,706187.9583333333,660101.0416666666,659323.0833333333,0.06038898359887717,1.0603889835988771
Montana,103107.97619047618,98821.58333333333,85773.375,80091.22348484848,-0.041571884305287896,0.9584281156947121
Nebraska,154329.6666666667,157175.25,155824.7916666667,151626.6666666667,0.018438343027588,1.018438343027588
Nevada,407454.6666666666,453857.3333333334,482039.625,495918.053030303,0.11388424397315386,1.1138842439731538
New Hampshire,73613.61904761905,70360.875,73045.20833333334,76168.51893939394,-0.044186715579285996,0.955813284420714
New Jersey,678845.2380952381,790610.5833333334,806352.9583333334,828570.9431818181,0.16464039071953426,1.1646403907195342
New Mexico,430921.40476190473,508103.9166666666,487267.5833333334,462527.07575757575,0.17911041561606167,1.1791104156160617
New York,2673452.761904762,2744933.125,2871779.5,2947961.5113636367,0.026737095980820722,1.0267370959808206
North Carolina,1315519.5238095238,1487419.875,1566646.875,1414544.5265151516,0.13067107563153577,1.1306710756315357
North Dakota,47174.47619047619,48360.25,45927.916666666664,50961.54166666667,0.025135918939216517,1.0251359189392166
Ohio,1321809.7857142857,1467520.2083333333,1440496.0,1416291.678030303,0.11023554538167374,1.1102355453816737
Oklahoma,551899.1666666667,616378.875,670827.5416666666,688748.928030303,0.11683240748989458,1.1168324074898945
Oregon,576515.3571428572,679588.0833333333,736206.625,766301.7765151515,0.17878574250179996,1.1787857425018
Pennsylvania,1690080.8333333335,1792751.3333333335,1904356.5416666665,1970617.6325757576,0.06074886950673463,1.0607488695067346
Rhode Island,147656.88095238095,143058.83333333334,141722.5,143098.87878787878,-0.031140083614054296,0.9688599163859457
South Carolina,582395.357142857,606728.4583333333,615447.2083333334,581616.2045454546,0.0417810700103289,1.041781070010329
South Dakota,77760.85714285714,75570.79166666667,71518.66666666666,75036.28787878787,-0.028164111825143966,0.971835888174856
Tennessee,868283.2619047619,870455.5416666667,778814.1666666667,701710.4128787878,0.0025018100166292485,1.0025018100166292
Texas,3324401.5714285714,3501436.791666667,3384337.041666667,3360635.428030303,0.05325325970232277,1.0532532597023228
Utah,166772.2857142857,162589.125,158098.75,173675.73106060605,-0.025083068786694578,0.9749169312133055
Vermont,69318.14285714287,68204.54166666666,70089.20833333333,65040.56060606061,-0.0160650753839615,0.9839349246160385
Virginia,678845.6904761905,749337.75,826479.3333333333,820081.0606060605,0.1038410650796963,1.1038410650796964
Washington,834455.5476190476,905713.5416666666,888863.2916666666,897072.2537878788,0.08539459561499653,1.0853945956149966
West Virginia,293651.7857142857,303922.2083333334,305892.125,273969.8181818182,0.03497483454447814,1.0349748345444783
Wisconsin,595041.4523809524,721992.8333333333,703923.3333333333,694683.4318181819,0.21334880191019884,1.2133488019101988
Wyoming,25478.071428571428,28599.416666666664,29793.0,27933.689393939392,0.12251104824970861,1.1225110482497087
